slice_id,position_pct,position_decile,section_key,start_para,end_para,start_line,end_line,paragraph_count,char_len_no_punct,sentence_count,median_sentence_len,primary_function,secondary_functions,transition_hits,marker_hits,direct_reader_hits,plain_translation_hits,turn_hits,judgment_hits,scene_hits,humor_hits,fact_anchor_hits,character_pressure_hits,closure_hits,dialogue_hits,inventory_hits
FS00001,0.05,1,V000-P000-C000-S000,1,4,4,16,4,541,15,29,narration,turn|explanation|closure,5,28,3,1,3,0,3,0,15,0,1,1,1
FS00002,0.11,1,V001-P000-C000-S001,5,13,18,39,9,477,8,59.0,narration,explanation|closure|inventory,7,28,2,4,0,1,1,0,16,0,2,0,2
FS00003,0.16,1,V001-P001-C000-S002,14,37,41,90,24,475,8,33.0,humor_aside,inventory|character|narration,3,44,5,0,1,0,3,18,4,5,1,1,6
FS00004,0.22,1,V001-P001-C001-S000,38,51,92,118,14,704,18,18.5,dialogue_scene,humor_aside|narration|turn,3,23,2,0,1,0,3,6,0,1,1,8,1
FS00005,0.27,1,V001-P001-C001-S000,52,60,120,139,9,467,13,36,turn,humor_aside|judgment|narration,4,11,1,0,2,1,2,2,1,1,1,0,0
FS00006,0.33,1,V001-P001-C002-S000,61,72,141,163,12,753,17,30,turn,humor_aside|narration|character,8,28,1,0,6,1,1,6,6,3,1,0,3
FS00007,0.38,1,V001-P001-C002-S000,73,86,165,191,14,661,19,32,turn,humor_aside|dialogue_scene|narration,6,16,1,0,4,0,3,4,0,1,1,2,0
FS00008,0.44,1,V001-P001-C002-S000,87,98,193,215,12,751,21,29,explanation,turn|humor_aside|character,5,22,6,3,3,2,1,4,0,3,0,0,0
FS00009,0.49,1,V001-P001-C002-S000,99,107,217,236,9,494,14,40.0,turn,judgment|humor_aside|narration,4,18,5,0,4,3,4,2,0,0,0,0,0
FS00010,0.55,1,V001-P001-C003-S000,108,118,238,258,11,757,19,42,explanation,humor_aside|inventory|judgment,5,12,0,2,0,1,1,2,2,1,1,0,2
FS00011,0.6,1,V001-P001-C003-S000,119,131,260,284,13,725,17,38,judgment,character|turn|narration,3,11,0,0,1,5,2,0,0,3,0,0,0
FS00012,0.66,1,V001-P001-C003-S000,132,148,286,318,17,693,27,25,turn,character|dialogue_scene|narration,6,24,1,1,5,0,4,2,1,4,2,3,1
FS00013,0.71,1,V001-P001-C004-S000,149,163,323,351,15,708,20,29.5,dialogue_scene,humor_aside|inventory|narration,5,33,5,0,1,0,2,8,1,0,0,14,2
FS00014,0.76,1,V001-P001-C004-S000,164,171,353,367,8,714,13,43,narration,turn|character|explanation,5,20,3,1,3,1,6,0,4,2,0,0,0
FS00015,0.82,1,V001-P001-C004-S000,172,181,369,387,10,724,14,48.5,turn,narration|humor_aside|closure,5,14,1,0,3,0,6,2,0,0,1,1,0
FS00016,0.87,1,V001-P001-C004-S000,182,200,389,425,19,627,18,39.5,humor_aside,narration|turn|character,4,14,0,0,1,0,4,6,0,1,1,0,1
FS00017,0.93,1,V001-P001-C005-S000,201,218,430,464,18,715,23,21,turn,dialogue_scene|humor_aside|narration,6,33,12,0,3,1,5,4,1,1,0,4,2
FS00018,0.98,1,V001-P001-C005-S000,219,230,466,488,12,702,13,45,dialogue_scene,humor_aside|judgment|narration,4,29,3,0,0,2,5,6,0,2,1,9,1
FS00019,1.04,1,V001-P001-C005-S000,231,244,490,516,14,742,15,46,narration,explanation|turn|character,4,11,1,1,1,0,5,0,2,1,0,0,0
FS00020,1.09,1,V001-P001-C005-S000,245,255,518,538,11,658,13,60,turn,narration|judgment|character,6,16,1,0,5,1,7,0,0,1,1,0,0
FS00021,1.15,1,V001-P001-C006-S000,256,267,543,565,12,692,15,47,turn,explanation|humor_aside|narration,9,27,2,3,5,2,4,4,3,0,1,2,1
FS00022,1.2,1,V001-P001-C006-S000,268,278,567,587,11,632,14,35.0,humor_aside,turn|judgment|narration,5,24,2,0,4,3,2,8,3,1,0,0,1
FS00023,1.26,1,V001-P001-C007-S000,279,291,592,616,13,729,13,58,judgment,humor_aside|character|closure,3,27,2,0,1,6,3,6,2,3,3,0,1
FS00024,1.31,1,V001-P001-C007-S000,292,306,618,646,15,677,18,37.0,humor_aside,dialogue_scene|closure|explanation,6,29,4,2,1,2,3,6,3,1,3,4,0
FS00025,1.37,1,V001-P001-C007-S000,307,315,648,664,9,725,11,69,humor_aside,judgment|closure|narration,3,26,4,0,1,3,3,10,1,0,3,0,1
FS00026,1.42,1,V001-P001-C007-S000,316,323,666,680,8,760,13,62,humor_aside,narration|explanation|turn,6,38,6,2,2,0,5,18,4,0,1,0,0
FS00027,1.47,1,V001-P001-C007-S000,324,334,682,702,11,668,11,60,dialogue_scene,turn|narration|character,4,19,1,0,3,1,4,0,1,2,1,6,0
FS00028,1.53,1,V001-P001-C007-S000,335,343,704,723,9,466,8,58.5,dialogue_scene,judgment|explanation|inventory,1,14,2,1,1,2,1,0,0,0,0,5,2
FS00029,1.58,1,V001-P001-C008-S000,344,364,725,765,21,719,22,29.5,dialogue_scene,humor_aside|narration|turn,5,45,7,0,3,1,6,8,4,1,1,14,0
FS00030,1.64,1,V001-P001-C008-S000,365,376,767,789,12,722,15,28,humor_aside,closure|narration|explanation,3,25,8,1,1,0,3,6,1,1,2,1,1
FS00031,1.69,1,V001-P001-C008-S000,377,384,791,805,8,547,10,60.5,humor_aside,dialogue_scene|narration|turn,2,20,4,0,1,0,3,8,1,1,0,2,0
FS00032,1.75,1,V001-P001-C009-S000,385,397,810,834,13,750,17,39,judgment,narration|explanation|humor_aside,1,20,3,1,0,4,4,2,2,1,1,1,1
FS00033,1.8,1,V001-P001-C009-S000,398,412,836,864,15,641,15,45,turn,humor_aside|judgment|narration,2,10,1,0,2,1,2,2,1,1,0,0,0
FS00034,1.86,1,V001-P001-C009-S000,413,423,866,886,11,633,10,56.0,explanation,humor_aside|judgment|narration,1,9,0,2,1,1,2,2,1,0,0,0,0
FS00035,1.91,1,V001-P001-C009-S000,424,435,888,910,12,730,14,31.5,humor_aside,dialogue_scene|judgment|narration,2,21,3,0,1,2,4,6,1,1,0,3,0
FS00036,1.97,1,V001-P001-C009-S000,436,447,912,934,12,637,18,26.5,dialogue_scene,explanation|turn|judgment,3,19,4,2,2,1,1,0,0,1,0,8,0
FS00037,2.02,1,V001-P001-C009-S000,448,460,936,960,13,757,15,39,dialogue_scene,narration|judgment|closure,2,10,1,0,0,1,2,0,2,0,1,2,1
FS00038,2.08,1,V001-P001-C009-S000,461,478,962,996,18,738,17,41,dialogue_scene,character|judgment|turn,2,28,12,0,1,1,2,0,0,2,0,10,0
FS00039,2.13,1,V001-P001-C009-S000,479,502,998,1044,24,755,20,33.5,narration,turn|character|dialogue_scene,2,17,0,0,2,1,5,2,2,2,0,2,1
FS00040,2.18,1,V001-P001-C009-S000,503,514,1046,1068,12,659,14,33.5,narration,turn|character|dialogue_scene,3,17,0,0,2,0,5,2,3,2,1,2,0
FS00041,2.24,1,V001-P001-C009-S000,515,534,1070,1108,20,752,21,27,dialogue_scene,explanation|turn|narration,3,24,0,1,1,0,2,0,0,0,0,20,0
FS00042,2.29,1,V001-P001-C009-S000,535,546,1110,1135,12,554,14,29.0,dialogue_scene,inventory|judgment|closure,5,23,2,1,0,2,3,0,1,0,2,9,3
FS00043,2.35,1,V001-P001-C010-S000,547,560,1137,1163,14,752,15,46,explanation,humor_aside|turn|dialogue_scene,4,17,2,2,2,1,1,3,2,1,1,2,0
FS00044,2.4,1,V001-P001-C010-S000,561,573,1165,1189,13,717,15,46,humor_aside,character|turn|explanation,4,20,1,1,2,1,2,8,1,3,1,0,0
FS00045,2.46,1,V001-P001-C010-S000,574,597,1191,1237,24,746,24,32.0,narration,turn|humor_aside|judgment,6,19,0,0,3,2,7,4,2,0,1,0,0
FS00046,2.51,1,V001-P001-C010-S000,598,620,1239,1283,23,712,25,24,dialogue_scene,turn|narration|judgment,3,17,4,0,2,1,3,0,1,1,1,4,0
FS00047,2.57,1,V001-P001-C010-S000,621,635,1285,1316,15,493,18,20.5,dialogue_scene,humor_aside|narration|turn,1,11,1,0,1,0,0,2,3,0,0,4,0
FS00048,2.62,1,V001-P001-C011-S000,636,657,1318,1360,22,732,23,32,judgment,character|explanation|humor_aside,2,8,0,0,0,3,1,1,1,1,0,0,1
FS00049,2.68,1,V001-P001-C011-S000,658,674,1362,1394,17,710,21,27,humor_aside,judgment|explanation|dialogue_scene,2,21,0,2,0,4,1,8,3,1,0,2,0
FS00050,2.73,1,V001-P001-C011-S000,675,691,1396,1428,17,643,15,33,dialogue_scene,narration|explanation|judgment,1,19,5,1,1,1,2,0,2,1,1,4,1
FS00051,2.79,1,V001-P001-C011-S000,692,703,1430,1452,12,669,12,40.5,humor_aside,narration|judgment|turn,2,13,1,0,1,1,5,4,0,0,0,1,0
FS00052,2.84,1,V001-P001-C011-S000,704,722,1454,1490,19,705,21,29,turn,narration|judgment|closure,3,10,0,0,2,1,4,0,1,0,1,0,1
FS00053,2.89,1,V001-P001-C011-S000,723,743,1492,1532,21,696,22,17.0,explanation,judgment|turn|character,3,10,3,2,1,1,1,0,0,1,0,0,1
FS00054,2.95,1,V001-P001-C011-S000,744,764,1534,1574,21,749,22,28.5,humor_aside,dialogue_scene|turn|inventory,2,16,3,0,1,0,1,6,0,0,0,4,1
FS00055,3.0,1,V001-P001-C011-S000,765,784,1576,1614,20,706,20,30.5,judgment,dialogue_scene|humor_aside|narration,1,13,2,0,1,2,1,2,2,0,0,2,1
FS00056,3.06,1,V001-P001-C011-S000,785,803,1616,1652,19,756,26,22.5,turn,character|judgment|narration,2,12,3,0,2,1,3,0,0,2,0,0,1
FS00057,3.11,1,V001-P001-C011-S000,804,822,1654,1690,19,758,20,41.5,narration,character|judgment|turn,1,16,1,0,1,1,6,0,4,3,0,0,0
FS00058,3.17,1,V001-P001-C011-S000,823,844,1692,1734,22,517,25,21,character,judgment|narration|turn,1,13,3,0,1,2,3,0,0,4,0,0,0
FS00059,3.22,1,V001-P001-C012-S000,845,861,1739,1771,17,705,20,31.0,humor_aside,dialogue_scene|character|judgment,0,21,1,0,0,1,3,8,0,3,0,4,1
FS00060,3.28,1,V001-P001-C012-S000,862,876,1773,1801,15,701,18,32.0,turn,character|inventory|narration,2,5,0,0,2,0,1,0,0,1,0,0,1
FS00061,3.33,1,V001-P001-C012-S000,877,892,1803,1833,16,697,17,29,dialogue_scene,humor_aside|narration|closure,0,20,1,0,1,0,5,4,1,0,2,5,1
FS00062,3.39,1,V001-P001-C012-S000,893,906,1835,1861,14,739,15,43,judgment,humor_aside|narration|closure,4,28,0,0,1,5,4,6,3,2,3,2,2
FS00063,3.44,1,V001-P001-C012-S000,907,921,1863,1891,15,732,24,31.0,humor_aside,judgment|narration|dialogue_scene,1,32,10,1,0,2,0,10,6,0,1,2,0
FS00064,3.5,1,V001-P001-C012-S000,922,947,1893,1943,26,750,26,21.5,narration,judgment|explanation|character,0,14,2,1,0,2,5,0,2,1,0,1,0
FS00065,3.55,1,V001-P001-C012-S000,948,969,1945,1987,22,756,21,29,dialogue_scene,turn|humor_aside|narration,3,28,6,0,4,0,1,3,4,0,2,7,1
FS00066,3.6,1,V001-P001-C012-S000,970,983,1989,2015,14,723,20,32.5,explanation,narration|turn|closure,3,10,0,1,1,0,1,0,5,0,1,1,0
FS00067,3.66,1,V001-P001-C012-S000,984,1000,2017,2049,17,723,22,30.0,humor_aside,dialogue_scene|judgment|narration,2,27,2,0,1,2,4,8,2,2,2,4,0
FS00068,3.71,1,V001-P001-C012-S000,1001,1012,2051,2073,12,743,17,37,judgment,narration|humor_aside|character,6,35,6,0,2,5,4,4,6,3,2,0,3
FS00069,3.77,1,V001-P001-C012-S000,1013,1021,2075,2094,9,521,15,29,character,narration|judgment|dialogue_scene,2,16,2,0,0,1,4,0,4,4,0,1,0
FS00070,3.82,1,V001-P001-C013-S000,1022,1034,2096,2120,13,689,18,34.0,turn,humor_aside|narration|judgment,6,21,2,1,3,2,3,4,4,0,1,1,0
FS00071,3.88,1,V001-P001-C013-S000,1035,1050,2122,2152,16,687,22,23.5,character,closure|humor_aside|judgment,2,17,3,0,1,1,3,2,0,4,2,1,0
FS00072,3.93,1,V001-P001-C013-S000,1051,1068,2154,2188,18,758,21,35,humor_aside,explanation|judgment|turn,1,14,1,1,1,1,1,6,1,0,0,1,1
FS00073,3.99,1,V001-P001-C013-S000,1069,1087,2190,2226,19,689,20,23.5,humor_aside,judgment|turn|explanation,3,12,0,1,2,2,1,4,2,0,0,0,0
FS00074,4.04,1,V001-P001-C013-S000,1088,1106,2228,2264,19,625,22,25.0,turn,character|dialogue_scene|closure,5,25,6,1,3,1,2,2,0,4,2,4,0
FS00075,4.1,1,V001-P001-C014-S000,1107,1123,2269,2301,17,733,21,34,character,narration|judgment|closure,0,13,2,0,0,1,1,0,3,3,1,1,1
FS00076,4.15,1,V001-P001-C014-S000,1124,1142,2303,2339,19,653,22,26.5,narration,explanation|turn|character,2,20,5,1,1,0,4,0,6,1,1,0,1
FS00077,4.21,1,V001-P001-C014-S000,1143,1158,2341,2371,16,713,20,31.5,humor_aside,narration|judgment|turn,4,33,5,0,2,3,2,6,9,1,1,2,2
FS00078,4.26,1,V001-P001-C014-S000,1159,1183,2373,2421,25,754,23,29,humor_aside,narration|dialogue_scene|character,2,28,2,0,0,0,2,14,6,1,1,2,0
FS00079,4.31,1,V001-P001-C014-S000,1184,1216,2423,2487,33,755,31,24,dialogue_scene,judgment|narration|character,2,17,3,0,0,2,3,0,3,1,1,4,0
FS00080,4.37,1,V001-P001-C014-S000,1217,1235,2489,2525,19,756,21,25,inventory,turn|explanation|narration,6,22,4,1,2,0,3,2,2,0,2,1,5
FS00081,4.42,1,V001-P001-C014-S000,1236,1253,2527,2561,18,743,19,36,dialogue_scene,narration|turn|humor_aside,4,28,4,0,3,0,5,2,7,1,0,6,0
FS00082,4.48,1,V001-P001-C014-S000,1254,1270,2563,2595,17,650,21,23,judgment,narration|character|dialogue_scene,2,25,1,0,1,4,6,2,6,2,1,2,0
FS00083,4.53,1,V001-P001-C014-S000,1271,1286,2597,2627,16,718,18,41.0,narration,dialogue_scene|humor_aside|judgment,5,15,0,0,0,1,1,2,7,1,0,2,1
FS00084,4.59,1,V001-P001-C014-S000,1287,1305,2629,2665,19,750,21,35,narration,judgment|character|explanation,3,30,13,1,1,2,5,0,5,2,1,0,0
FS00085,4.64,1,V001-P001-C014-S000,1306,1323,2667,2701,18,675,20,32.0,narration,turn|humor_aside|character,4,25,2,0,3,2,3,4,6,3,2,0,0
FS00086,4.7,1,V001-P001-C014-S000,1324,1337,2703,2729,14,702,20,29.5,narration,humor_aside|character|inventory,3,31,1,0,2,1,6,4,7,3,2,2,3
FS00087,4.75,1,V001-P001-C014-S000,1338,1352,2731,2759,15,759,22,28.5,inventory,narration|turn|character,5,16,2,1,2,0,3,0,3,2,0,0,3
FS00088,4.81,1,V001-P001-C014-S000,1353,1365,2761,2785,13,750,21,33,turn,narration|closure|explanation,7,24,2,2,4,0,2,0,5,2,3,2,2
FS00089,4.86,1,V001-P001-C014-S000,1366,1377,2787,2809,12,653,18,30.5,humor_aside,judgment|narration|character,3,24,0,1,1,4,3,8,2,2,0,2,1
FS00090,4.92,1,V001-P001-C014-S000,1378,1387,2811,2829,10,724,19,38,humor_aside,narration|judgment|turn,5,23,0,0,1,1,6,8,5,0,1,0,1
FS00091,4.97,1,V001-P001-C014-S000,1388,1402,2831,2859,15,730,20,37.0,character,inventory|judgment|humor_aside,1,17,0,0,1,2,3,2,0,4,1,1,3
FS00092,5.02,1,V001-P001-C014-S000,1403,1415,2861,2885,13,718,18,33.0,turn,humor_aside|character|inventory,5,16,0,0,3,1,2,4,2,2,0,0,2
FS00093,5.08,1,V001-P001-C014-S000,1416,1426,2887,2907,11,752,14,38.0,turn,explanation|judgment|narration,5,8,0,1,2,1,1,0,2,0,0,0,1
FS00094,5.13,1,V001-P001-C014-S000,1427,1438,2909,2931,12,736,18,40.5,humor_aside,explanation|judgment|turn,3,9,1,1,1,1,1,2,1,0,1,0,0
FS00095,5.19,1,V001-P001-C014-S000,1439,1452,2933,2959,14,726,18,37.0,humor_aside,narration|turn|judgment,3,22,3,0,2,1,4,10,2,0,0,0,0
FS00096,5.24,1,V001-P001-C014-S000,1453,1462,2961,2979,10,755,16,46.0,inventory,closure|judgment|narration,8,26,8,0,1,2,1,0,3,1,3,0,7
FS00097,5.3,1,V001-P001-C014-S000,1463,1472,2981,2999,10,711,12,61.0,judgment,character|explanation|narration,2,32,14,2,1,6,0,0,3,6,0,0,0
FS00098,5.35,1,V001-P001-C014-S000,1473,1483,3001,3021,11,681,18,31.5,judgment,character|turn|explanation,4,50,31,2,3,6,1,0,0,5,2,0,0
FS00099,5.41,1,V001-P001-C014-S000,1484,1495,3023,3045,12,700,18,36.5,judgment,character|narration|turn,5,40,18,1,2,6,3,0,4,4,2,0,0
FS00100,5.46,1,V001-P001-C014-S000,1496,1504,3047,3066,9,596,15,35,turn,narration|character|humor_aside,3,13,2,0,2,0,4,2,1,2,0,0,0
FS00101,5.52,1,V001-P001-C015-S000,1505,1517,3068,3092,13,743,19,37,humor_aside,character|judgment|closure,3,21,3,1,0,2,0,4,4,3,2,0,2
FS00102,5.57,1,V001-P001-C015-S000,1518,1526,3094,3110,9,704,14,40.0,humor_aside,narration|turn|closure,5,24,0,0,3,1,5,6,6,0,2,0,1
FS00103,5.63,1,V001-P001-C015-S000,1527,1536,3112,3130,10,690,20,30.0,turn,humor_aside|narration|explanation,2,12,0,0,3,0,2,4,3,0,0,0,0
FS00104,5.68,1,V001-P001-C015-S000,1537,1549,3132,3156,13,724,23,32,humor_aside,turn|narration|closure,5,21,0,0,3,1,3,10,2,0,2,0,0
FS00105,5.73,1,V001-P001-C015-S000,1550,1557,3158,3175,8,500,10,47.5,closure,turn|character|dialogue_scene,3,14,1,0,2,0,0,0,2,2,3,2,2
FS00106,5.79,1,V001-P001-C016-S000,1558,1564,3177,3189,7,742,16,45.5,humor_aside,narration|turn|explanation,4,25,8,1,2,0,2,3,4,2,1,2,0
FS00107,5.84,1,V001-P001-C016-S000,1565,1574,3191,3209,10,729,16,35.5,inventory,narration|dialogue_scene|turn,6,37,10,0,2,0,6,2,5,0,2,4,6
FS00108,5.9,1,V001-P001-C016-S000,1575,1586,3211,3233,12,714,18,33.5,explanation,humor_aside|inventory|narration,5,45,19,3,1,1,5,4,2,1,3,2,4
FS00109,5.95,1,V001-P001-C016-S000,1587,1596,3235,3253,10,730,18,34.5,inventory,judgment|turn|character,5,36,10,0,3,4,1,0,6,4,2,0,6
FS00110,6.01,1,V001-P001-C016-S000,1597,1606,3255,3273,10,749,16,38.0,humor_aside,narration|explanation|character,6,47,10,3,0,0,3,12,9,4,3,2,1
FS00111,6.06,1,V001-P001-C016-S000,1607,1615,3275,3291,9,693,18,33.0,character,inventory|narration|dialogue_scene,4,33,7,1,0,0,6,0,3,7,0,4,5
FS00112,6.12,1,V001-P001-C016-S000,1616,1626,3293,3313,11,677,12,64.5,dialogue_scene,inventory|character|judgment,3,35,5,0,0,2,3,2,3,3,0,12,5
FS00113,6.17,1,V001-P001-C016-S000,1627,1636,3315,3333,10,752,12,61.5,judgment,turn|closure|explanation,4,15,2,1,2,5,3,0,0,0,2,0,0
FS00114,6.23,1,V001-P001-C016-S000,1637,1644,3335,3349,8,702,14,46.5,dialogue_scene,narration|judgment|turn,1,17,4,0,1,1,3,0,3,0,0,4,1
FS00115,6.28,1,V001-P001-C016-S000,1645,1654,3351,3369,10,722,15,34,inventory,narration|character|closure,2,27,4,1,0,1,3,2,5,3,2,1,5
FS00116,6.34,1,V001-P001-C016-S000,1655,1659,3371,3379,5,675,17,30,explanation,narration|character|dialogue_scene,2,22,8,2,0,0,0,2,5,2,1,2,0
FS00117,6.39,1,V001-P001-C016-S000,1660,1667,3381,3395,8,735,26,26.5,narration,inventory|judgment|dialogue_scene,1,30,9,0,0,2,0,2,10,1,1,2,3
FS00118,6.44,1,V001-P001-C016-S000,1668,1678,3397,3417,11,751,19,30,humor_aside,narration|inventory|explanation,3,26,9,1,0,0,2,4,6,0,1,0,3
FS00119,6.5,1,V001-P001-C016-S000,1679,1691,3419,3443,13,736,19,43,dialogue_scene,narration|judgment|inventory,4,21,1,1,1,2,9,0,0,0,0,5,2
FS00120,6.55,1,V001-P001-C016-S000,1692,1705,3445,3471,14,757,18,33.0,dialogue_scene,closure|character|inventory,5,25,2,0,0,0,3,0,0,2,6,10,2
FS00121,6.61,1,V001-P001-C016-S000,1706,1724,3473,3509,19,755,26,31.0,dialogue_scene,explanation|turn|judgment,5,37,3,3,3,2,6,2,0,0,1,16,1
FS00122,6.66,1,V001-P001-C016-S000,1725,1732,3511,3528,8,464,12,32.0,judgment,humor_aside|inventory|narration,2,7,0,0,0,2,2,2,0,0,0,0,1
FS00123,6.72,1,V001-P001-C017-S000,1733,1745,3530,3554,13,731,17,40,character,closure|judgment|turn,5,25,2,0,2,3,0,2,4,5,5,2,0
FS00124,6.77,1,V001-P001-C017-S000,1746,1758,3556,3580,13,696,16,39.0,judgment,character|dialogue_scene|inventory,2,29,4,1,2,3,0,0,7,4,0,4,4
FS00125,6.83,1,V001-P001-C017-S000,1759,1767,3582,3598,9,697,15,45,dialogue_scene,explanation|narration|humor_aside,1,33,14,2,1,1,1,2,6,0,0,6,0
FS00126,6.88,1,V001-P001-C017-S000,1768,1781,3600,3626,14,751,21,26,narration,dialogue_scene|turn|humor_aside,4,21,3,0,2,0,7,2,2,1,0,4,0
FS00127,6.94,1,V001-P001-C017-S000,1782,1795,3628,3654,14,664,20,31.5,turn,narration|dialogue_scene|judgment,7,20,0,0,5,2,3,0,4,2,1,3,0
FS00128,6.99,1,V001-P001-C017-S000,1796,1805,3656,3674,10,645,16,32.0,humor_aside,turn|narration|explanation,6,24,4,1,4,1,4,6,4,0,0,0,0
FS00129,7.05,1,V001-P001-C017-S000,1806,1818,3676,3700,13,720,15,46,judgment,turn|explanation|narration,3,24,7,1,2,2,2,2,3,1,2,2,0
FS00130,7.1,1,V001-P001-C017-S000,1819,1827,3702,3718,9,733,13,46,explanation,closure|narration|dialogue_scene,3,28,18,2,0,0,2,0,2,0,3,1,0
FS00131,7.15,1,V001-P001-C017-S000,1828,1838,3720,3740,11,733,17,35,narration,character|turn|closure,4,36,7,0,2,0,0,2,15,4,2,2,2
FS00132,7.21,1,V001-P001-C017-S000,1839,1847,3742,3758,9,731,15,46,turn,narration|inventory|judgment,8,30,1,1,6,2,1,2,10,1,2,1,3
FS00133,7.26,1,V001-P001-C017-S000,1848,1859,3760,3782,12,716,19,34,character,narration|explanation|closure,1,25,6,1,0,0,1,0,9,6,1,0,1
FS00134,7.32,1,V001-P001-C017-S000,1860,1869,3784,3802,10,596,16,39.5,humor_aside,narration|character|closure,1,28,3,0,0,0,1,8,10,2,2,1,1
FS00135,7.37,1,V001-P001-C017-S000,1870,1876,3804,3816,7,671,18,30.5,explanation,narration|humor_aside|turn,3,18,7,2,1,0,2,2,3,1,0,0,0
FS00136,7.43,1,V001-P001-C017-S000,1877,1891,3818,3846,15,749,21,34,humor_aside,dialogue_scene|judgment|turn,3,21,2,0,2,2,1,6,2,1,1,4,0
FS00137,7.48,1,V001-P001-C017-S000,1892,1912,3848,3888,21,749,23,35,turn,dialogue_scene|character|closure,2,17,3,0,3,0,3,0,1,2,2,3,0
FS00138,7.54,1,V001-P001-C017-S000,1913,1924,3890,3912,12,726,17,42,humor_aside,narration|character|dialogue_scene,1,38,3,0,1,0,0,16,11,3,0,2,2
FS00139,7.59,1,V001-P001-C017-S000,1925,1936,3914,3936,12,651,18,28.5,dialogue_scene,humor_aside|judgment|turn,1,21,5,0,1,1,0,6,2,0,0,6,0
FS00140,7.65,1,V001-P001-C017-S000,1937,1947,3938,3958,11,656,19,32,turn,narration|explanation|closure,4,26,3,2,4,1,3,2,7,0,2,0,2
FS00141,7.7,1,V001-P001-C017-S000,1948,1957,3960,3978,10,711,17,42,humor_aside,narration|turn|judgment,4,21,4,0,2,1,4,6,2,1,0,0,1
FS00142,7.76,1,V001-P001-C017-S000,1958,1969,3980,4002,12,642,17,31,dialogue_scene,narration|humor_aside|turn,1,42,3,0,2,1,6,4,3,0,0,21,2
FS00143,7.81,1,V001-P001-C017-S000,1970,1978,4004,4020,9,563,14,34.0,narration,humor_aside|inventory|turn,5,28,5,0,2,0,2,4,9,0,1,2,3
FS00144,7.86,1,V001-P001-C018-S000,1979,1992,4025,4051,14,715,20,31.0,humor_aside,narration|dialogue_scene|judgment,2,16,0,0,1,1,1,4,5,0,1,2,1
FS00145,7.92,1,V001-P001-C018-S000,1993,2008,4053,4083,16,682,22,32.0,turn,narration|character|dialogue_scene,10,25,1,0,9,0,4,0,6,3,0,2,0
FS00146,7.97,1,V001-P001-C018-S000,2009,2020,4085,4107,12,754,22,27.5,judgment,turn|narration|dialogue_scene,2,16,1,0,2,2,1,2,4,0,0,2,2
FS00147,8.03,1,V001-P001-C018-S000,2021,2031,4109,4129,11,618,14,43.5,humor_aside,dialogue_scene|turn|explanation,5,28,2,2,3,0,2,8,5,0,0,6,0
FS00148,8.08,1,V001-P001-C018-S000,2032,2042,4131,4154,11,530,13,31,narration,humor_aside|judgment|closure,2,26,4,0,1,2,0,4,12,0,2,0,1
FS00149,8.14,1,V001-P001-C019-S000,2043,2057,4156,4184,15,719,22,28.0,judgment,narration|explanation|turn,5,32,12,1,1,5,6,0,5,0,1,0,1
FS00150,8.19,1,V001-P001-C019-S000,2058,2073,4186,4216,16,749,20,32.5,explanation,narration|judgment|turn,10,30,2,4,2,2,3,2,12,1,2,0,0
FS00151,8.25,1,V001-P001-C019-S000,2074,2087,4218,4244,14,740,19,32,narration,explanation|judgment|character,1,26,8,2,0,1,1,0,12,1,1,0,0
FS00152,8.3,1,V001-P001-C019-S000,2088,2100,4246,4270,13,710,16,43.5,humor_aside,explanation|narration|dialogue_scene,2,31,5,2,0,1,1,14,5,0,0,2,1
FS00153,8.36,1,V001-P001-C019-S000,2101,2116,4272,4302,16,754,19,37,narration,explanation|humor_aside|judgment,7,59,18,5,1,3,4,6,15,0,2,4,1
FS00154,8.41,1,V001-P001-C019-S000,2117,2124,4304,4318,8,689,13,52,narration,closure|explanation|turn,3,27,10,2,2,0,2,0,8,0,3,0,0
FS00155,8.47,1,V001-P001-C019-S000,2125,2138,4320,4346,14,753,19,36,dialogue_scene,narration|judgment|character,3,34,6,0,1,2,3,2,9,2,0,9,0
FS00156,8.52,1,V001-P001-C019-S000,2139,2147,4348,4364,9,658,18,34.5,dialogue_scene,judgment|turn|humor_aside,3,21,5,0,2,2,0,2,2,0,0,6,2
FS00157,8.57,1,V001-P001-C019-S000,2148,2156,4366,4382,9,741,14,48.5,narration,turn|inventory|judgment,4,24,1,1,3,2,0,0,10,0,2,2,3
FS00158,8.63,1,V001-P001-C019-S000,2157,2171,4384,4412,15,744,26,23.5,judgment,humor_aside|turn|dialogue_scene,4,20,3,0,2,3,1,4,1,1,1,2,2
FS00159,8.68,1,V001-P001-C019-S000,2172,2192,4414,4454,21,753,25,23,narration,turn|dialogue_scene|humor_aside,2,18,2,0,2,0,6,2,1,1,0,2,2
FS00160,8.74,1,V001-P001-C020-S000,2193,2202,4459,4477,10,723,20,31.5,humor_aside,narration|turn|explanation,4,20,1,1,2,1,3,6,4,1,0,0,1
FS00161,8.79,1,V001-P001-C020-S000,2203,2216,4479,4505,14,716,21,32,humor_aside,explanation|turn|dialogue_scene,3,17,1,2,2,0,1,4,2,0,1,2,2
FS00162,8.85,1,V001-P001-C020-S000,2217,2229,4507,4531,13,720,18,37.0,humor_aside,turn|closure|narration,3,18,3,0,2,0,2,6,2,0,2,1,0
